Date,Calendar_Year,Financial_Year,Quarter,Month_Number,Month_Name,ISO_Week,Day_of_Month,Day_Name,Is_Weekend,Season,Is_Festival,Festival_Name,Sales_Multiplier
2024-02-08,2024,FY2023-24,1,2,February,6,8,Thursday,No,Winter,No,,0.98
2024-02-09,2024,FY2023-24,1,2,February,6,9,Friday,No,Winter,No,,0.98
2024-02-10,2024,FY2023-24,1,2,February,6,10,Saturday,Yes,Winter,No,,0.98
2024-02-11,2024,FY2023-24,1,2,February,6,11,Sunday,Yes,Winter,No,,0.98
2024-02-12,2024,FY2023-24,1,2,February,7,12,Monday,No,Winter,No,,0.98
2024-02-13,2024,FY2023-24,1,2,February,7,13,Tuesday,No,Winter,No,,0.98
2024-02-14,2024,FY2023-24,1,2,February,7,14,Wednesday,No,Winter,No,,0.98
2024-02-15,2024,FY2023-24,1,2,February,7,15,Thursday,No,Winter,No,,0.98
2024-02-16,2024,FY2023-24,1,2,February,7,16,Friday,No,Winter,No,,0.98
2024-02-17,2024,FY2023-24,1,2,February,7,17,Saturday,Yes,Winter,No,,0.98
2024-02-18,2024,FY2023-24,1,2,February,7,18,Sunday,Yes,Winter,No,,0.98
2024-02-19,2024,FY2023-24,1,2,February,8,19,Monday,No,Winter,No,,0.98
2024-02-20,2024,FY2023-24,1,2,February,8,20,Tuesday,No,Winter,No,,0.98
2024-02-21,2024,FY2023-24,1,2,February,8,21,Wednesday,No,Winter,No,,0.98
2024-02-22,2024,FY2023-24,1,2,February,8,22,Thursday,No,Winter,No,,0.98
2024-02-23,2024,FY2023-24,1,2,February,8,23,Friday,No,Winter,No,,0.98
2024-02-24,2024,FY2023-24,1,2,February,8,24,Saturday,Yes,Winter,No,,0.98
2024-02-25,2024,FY2023-24,1,2,February,8,25,Sunday,Yes,Winter,No,,0.98
2024-02-26,2024,FY2023-24,1,2,February,9,26,Monday,No,Winter,No,,0.98
2024-02-27,2024,FY2023-24,1,2,February,9,27,Tuesday,No,Winter,No,,0.98
2024-02-28,2024,FY2023-24,1,2,February,9,28,Wednesday,No,Winter,No,,0.98
2024-02-29,2024,FY2023-24,1,2,February,9,29,Thursday,No,Winter,No,,0.98
2024-03-01,2024,FY2023-24,1,3,March,9,1,Friday,No,Summer,No,,1.02
2024-03-02,2024,FY2023-24,1,3,March,9,2,Saturday,Yes,Summer,No,,1.02
2024-03-03,2024,FY2023-24,1,3,March,9,3,Sunday,Yes,Summer,No,,1.02
2024-03-04,2024,FY2023-24,1,3,March,10,4,Monday,No,Summer,No,,1.02
2024-03-05,2024,FY2023-24,1,3,March,10,5,Tuesday,No,Summer,No,,1.02
2024-03-06,2024,FY2023-24,1,3,March,10,6,Wednesday,No,Summer,No,,1.02
2024-03-07,2024,FY2023-24,1,3,March,10,7,Thursday,No,Summer,No,,1.02
2024-03-08,2024,FY2023-24,1,3,March,10,8,Friday,No,Summer,No,,1.02
2024-03-09,2024,FY2023-24,1,3,March,10,9,Saturday,Yes,Summer,No,,1.02
2024-03-10,2024,FY2023-24,1,3,March,10,10,Sunday,Yes,Summer,No,,1.02
2024-03-11,2024,FY2023-24,1,3,March,11,11,Monday,No,Summer,No,,1.02
2024-03-12,2024,FY2023-24,1,3,March,11,12,Tuesday,No,Summer,No,,1.02
2024-03-13,2024,FY2023-24,1,3,March,11,13,Wednesday,No,Summer,No,,1.02
2024-03-14,2024,FY2023-24,1,3,March,11,14,Thursday,No,Summer,No,,1.02
2024-03-15,2024,FY2023-24,1,3,March,11,15,Friday,No,Summer,No,,1.02
2024-03-16,2024,FY2023-24,1,3,March,11,16,Saturday,Yes,Summer,No,,1.02
2024-03-17,2024,FY2023-24,1,3,March,11,17,Sunday,Yes,Summer,No,,1.02
2024-03-18,2024,FY2023-24,1,3,March,12,18,Monday,No,Summer,No,,1.02
2024-03-19,2024,FY2023-24,1,3,March,12,19,Tuesday,No,Summer,No,,1.02
2024-03-20,2024,FY2023-24,1,3,March,12,20,Wednesday,No,Summer,No,,1.02
2024-03-21,2024,FY2023-24,1,3,March,12,21,Thursday,No,Summer,No,,1.02
2024-03-22,2024,FY2023-24,1,3,March,12,22,Friday,No,Summer,No,,1.02
2024-03-23,2024,FY2023-24,1,3,March,12,23,Saturday,Yes,Summer,No,,1.02
2024-03-24,2024,FY2023-24,1,3,March,12,24,Sunday,Yes,Summer,No,,1.02
2024-03-25,2024,FY2023-24,1,3,March,13,25,Monday,No,Summer,Yes,Holi,1.12
2024-03-26,2024,FY2023-24,1,3,March,13,26,Tuesday,No,Summer,No,,1.02
2024-03-27,2024,FY2023-24,1,3,March,13,27,Wednesday,No,Summer,No,,1.02
2024-03-28,2024,FY2023-24,1,3,March,13,28,Thursday,No,Summer,No,,1.02
2024-03-29,2024,FY2023-24,1,3,March,13,29,Friday,No,Summer,No,,1.02
2024-03-30,2024,FY2023-24,1,3,March,13,30,Saturday,Yes,Summer,No,,1.02
2024-03-31,2024,FY2023-24,1,3,March,13,31,Sunday,Yes,Summer,No,,1.02
2024-04-01,2024,FY2024-25,2,4,April,14,1,Monday,No,Summer,No,,1.05
2024-04-02,2024,FY2024-25,2,4,April,14,2,Tuesday,No,Summer,No,,1.05
2024-04-03,2024,FY2024-25,2,4,April,14,3,Wednesday,No,Summer,No,,1.05
2024-04-04,2024,FY2024-25,2,4,April,14,4,Thursday,No,Summer,No,,1.05
2024-04-05,2024,FY2024-25,2,4,April,14,5,Friday,No,Summer,No,,1.05
2024-04-06,2024,FY2024-25,2,4,April,14,6,Saturday,Yes,Summer,No,,1.05
2024-04-07,2024,FY2024-25,2,4,April,14,7,Sunday,Yes,Summer,No,,1.05
2024-04-08,2024,FY2024-25,2,4,April,15,8,Monday,No,Summer,No,,1.05
2024-04-09,2024,FY2024-25,2,4,April,15,9,Tuesday,No,Summer,No,,1.05
2024-04-10,2024,FY2024-25,2,4,April,15,10,Wednesday,No,Summer,No,,1.05
2024-04-11,2024,FY2024-25,2,4,April,15,11,Thursday,No,Summer,No,,1.05
2024-04-12,2024,FY2024-25,2,4,April,15,12,Friday,No,Summer,No,,1.05
2024-04-13,2024,FY2024-25,2,4,April,15,13,Saturday,Yes,Summer,No,,1.05
2024-04-14,2024,FY2024-25,2,4,April,15,14,Sunday,Yes,Summer,No,,1.05
2024-04-15,2024,FY2024-25,2,4,April,16,15,Monday,No,Summer,No,,1.05
2024-04-16,2024,FY2024-25,2,4,April,16,16,Tuesday,No,Summer,No,,1.05
2024-04-17,2024,FY2024-25,2,4,April,16,17,Wednesday,No,Summer,No,,1.05
2024-04-18,2024,FY2024-25,2,4,April,16,18,Thursday,No,Summer,No,,1.05
2024-04-19,2024,FY2024-25,2,4,April,16,19,Friday,No,Summer,No,,1.05
2024-04-20,2024,FY2024-25,2,4,April,16,20,Saturday,Yes,Summer,No,,1.05
2024-04-21,2024,FY2024-25,2,4,April,16,21,Sunday,Yes,Summer,No,,1.05
2024-04-22,2024,FY2024-25,2,4,April,17,22,Monday,No,Summer,No,,1.05
2024-04-23,2024,FY2024-25,2,4,April,17,23,Tuesday,No,Summer,No,,1.05
2024-04-24,2024,FY2024-25,2,4,April,17,24,Wednesday,No,Summer,No,,1.05
2024-04-25,2024,FY2024-25,2,4,April,17,25,Thursday,No,Summer,No,,1.05
2024-04-26,2024,FY2024-25,2,4,April,17,26,Friday,No,Summer,No,,1.05
2024-04-27,2024,FY2024-25,2,4,April,17,27,Saturday,Yes,Summer,No,,1.05
2024-04-28,2024,FY2024-25,2,4,April,17,28,Sunday,Yes,Summer,No,,1.05
2024-04-29,2024,FY2024-25,2,4,April,18,29,Monday,No,Summer,No,,1.05
2024-04-30,2024,FY2024-25,2,4,April,18,30,Tuesday,No,Summer,No,,1.05
2024-05-01,2024,FY2024-25,2,5,May,18,1,Wednesday,No,Summer,No,,1.08
2024-05-02,2024,FY2024-25,2,5,May,18,2,Thursday,No,Summer,No,,1.08
2024-05-03,2024,FY2024-25,2,5,May,18,3,Friday,No,Summer,No,,1.08
2024-05-04,2024,FY2024-25,2,5,May,18,4,Saturday,Yes,Summer,No,,1.08
2024-05-05,2024,FY2024-25,2,5,May,18,5,Sunday,Yes,Summer,No,,1.08
2024-05-06,2024,FY2024-25,2,5,May,19,6,Monday,No,Summer,No,,1.08
2024-05-07,2024,FY2024-25,2,5,May,19,7,Tuesday,No,Summer,No,,1.08
2024-05-08,2024,FY2024-25,2,5,May,19,8,Wednesday,No,Summer,No,,1.08
2024-05-09,2024,FY2024-25,2,5,May,19,9,Thursday,No,Summer,No,,1.08
2024-05-10,2024,FY2024-25,2,5,May,19,10,Friday,No,Summer,No,,1.08
2024-05-11,2024,FY2024-25,2,5,May,19,11,Saturday,Yes,Summer,No,,1.08
2024-05-12,2024,FY2024-25,2,5,May,19,12,Sunday,Yes,Summer,No,,1.08
2024-05-13,2024,FY2024-25,2,5,May,20,13,Monday,No,Summer,No,,1.08
2024-05-14,2024,FY2024-25,2,5,May,20,14,Tuesday,No,Summer,No,,1.08
2024-05-15,2024,FY2024-25,2,5,May,20,15,Wednesday,No,Summer,No,,1.08
2024-05-16,2024,FY2024-25,2,5,May,20,16,Thursday,No,Summer,No,,1.08
2024-05-17,2024,FY2024-25,2,5,May,20,17,Friday,No,Summer,No,,1.08
2024-05-18,2024,FY2024-25,2,5,May,20,18,Saturday,Yes,Summer,No,,1.08
2024-05-19,2024,FY2024-25,2,5,May,20,19,Sunday,Yes,Summer,No,,1.08
2024-05-20,2024,FY2024-25,2,5,May,21,20,Monday,No,Summer,No,,1.08
2024-05-21,2024,FY2024-25,2,5,May,21,21,Tuesday,No,Summer,No,,1.08
2024-05-22,2024,FY2024-25,2,5,May,21,22,Wednesday,No,Summer,No,,1.08
2024-05-23,2024,FY2024-25,2,5,May,21,23,Thursday,No,Summer,No,,1.08
2024-05-24,2024,FY2024-25,2,5,May,21,24,Friday,No,Summer,No,,1.08
2024-05-25,2024,FY2024-25,2,5,May,21,25,Saturday,Yes,Summer,No,,1.08
2024-05-26,2024,FY2024-25,2,5,May,21,26,Sunday,Yes,Summer,No,,1.08
2024-05-27,2024,FY2024-25,2,5,May,22,27,Monday,No,Summer,No,,1.08
2024-05-28,2024,FY2024-25,2,5,May,22,28,Tuesday,No,Summer,No,,1.08
2024-05-29,2024,FY2024-25,2,5,May,22,29,Wednesday,No,Summer,No,,1.08
2024-05-30,2024,FY2024-25,2,5,May,22,30,Thursday,No,Summer,No,,1.08
2024-05-31,2024,FY2024-25,2,5,May,22,31,Friday,No,Summer,No,,1.08
2024-06-01,2024,FY2024-25,2,6,June,22,1,Saturday,Yes,Monsoon,No,,1.02
2024-06-02,2024,FY2024-25,2,6,June,22,2,Sunday,Yes,Monsoon,No,,1.02
2024-06-03,2024,FY2024-25,2,6,June,23,3,Monday,No,Monsoon,No,,1.02
2024-06-04,2024,FY2024-25,2,6,June,23,4,Tuesday,No,Monsoon,No,,1.02
2024-06-05,2024,FY2024-25,2,6,June,23,5,Wednesday,No,Monsoon,No,,1.02
2024-06-06,2024,FY2024-25,2,6,June,23,6,Thursday,No,Monsoon,No,,1.02
2024-06-07,2024,FY2024-25,2,6,June,23,7,Friday,No,Monsoon,No,,1.02
2024-06-08,2024,FY2024-25,2,6,June,23,8,Saturday,Yes,Monsoon,No,,1.02
2024-06-09,2024,FY2024-25,2,6,June,23,9,Sunday,Yes,Monsoon,No,,1.02
2024-06-10,2024,FY2024-25,2,6,June,24,10,Monday,No,Monsoon,No,,1.02
2024-06-11,2024,FY2024-25,2,6,June,24,11,Tuesday,No,Monsoon,No,,1.02
2024-06-12,2024,FY2024-25,2,6,June,24,12,Wednesday,No,Monsoon,No,,1.02
2024-06-13,2024,FY2024-25,2,6,June,24,13,Thursday,No,Monsoon,No,,1.02
2024-06-14,2024,FY2024-25,2,6,June,24,14,Friday,No,Monsoon,No,,1.02
2024-06-15,2024,FY2024-25,2,6,June,24,15,Saturday,Yes,Monsoon,No,,1.02
2024-06-16,2024,FY2024-25,2,6,June,24,16,Sunday,Yes,Monsoon,No,,1.02
2024-06-17,2024,FY2024-25,2,6,June,25,17,Monday,No,Monsoon,No,,1.02
2024-06-18,2024,FY2024-25,2,6,June,25,18,Tuesday,No,Monsoon,No,,1.02
2024-06-19,2024,FY2024-25,2,6,June,25,19,Wednesday,No,Monsoon,No,,1.02
2024-06-20,2024,FY2024-25,2,6,June,25,20,Thursday,No,Monsoon,No,,1.02
2024-06-21,2024,FY2024-25,2,6,June,25,21,Friday,No,Monsoon,No,,1.02
2024-06-22,2024,FY2024-25,2,6,June,25,22,Saturday,Yes,Monsoon,No,,1.02
2024-06-23,2024,FY2024-25,2,6,June,25,23,Sunday,Yes,Monsoon,No,,1.02
2024-06-24,2024,FY2024-25,2,6,June,26,24,Monday,No,Monsoon,No,,1.02
2024-06-25,2024,FY2024-25,2,6,June,26,25,Tuesday,No,Monsoon,No,,1.02
2024-06-26,2024,FY2024-25,2,6,June,26,26,Wednesday,No,Monsoon,No,,1.02
2024-06-27,2024,FY2024-25,2,6,June,26,27,Thursday,No,Monsoon,No,,1.02
2024-06-28,2024,FY2024-25,2,6,June,26,28,Friday,No,Monsoon,No,,1.02
2024-06-29,2024,FY2024-25,2,6,June,26,29,Saturday,Yes,Monsoon,No,,1.02
2024-06-30,2024,FY2024-25,2,6,June,26,30,Sunday,Yes,Monsoon,No,,1.02
2024-07-01,2024,FY2024-25,3,7,July,27,1,Monday,No,Monsoon,No,,0.96
2024-07-02,2024,FY2024-25,3,7,July,27,2,Tuesday,No,Monsoon,No,,0.96
2024-07-03,2024,FY2024-25,3,7,July,27,3,Wednesday,No,Monsoon,No,,0.96
2024-07-04,2024,FY2024-25,3,7,July,27,4,Thursday,No,Monsoon,No,,0.96
2024-07-05,2024,FY2024-25,3,7,July,27,5,Friday,No,Monsoon,No,,0.96
2024-07-06,2024,FY2024-25,3,7,July,27,6,Saturday,Yes,Monsoon,No,,0.96
2024-07-07,2024,FY2024-25,3,7,July,27,7,Sunday,Yes,Monsoon,No,,0.96
2024-07-08,2024,FY2024-25,3,7,July,28,8,Monday,No,Monsoon,No,,0.96
2024-07-09,2024,FY2024-25,3,7,July,28,9,Tuesday,No,Monsoon,No,,0.96
2024-07-10,2024,FY2024-25,3,7,July,28,10,Wednesday,No,Monsoon,No,,0.96
2024-07-11,2024,FY2024-25,3,7,July,28,11,Thursday,No,Monsoon,No,,0.96
2024-07-12,2024,FY2024-25,3,7,July,28,12,Friday,No,Monsoon,No,,0.96
2024-07-13,2024,FY2024-25,3,7,July,28,13,Saturday,Yes,Monsoon,No,,0.96
2024-07-14,2024,FY2024-25,3,7,July,28,14,Sunday,Yes,Monsoon,No,,0.96
2024-07-15,2024,FY2024-25,3,7,July,29,15,Monday,No,Monsoon,No,,0.96
2024-07-16,2024,FY2024-25,3,7,July,29,16,Tuesday,No,Monsoon,No,,0.96
2024-07-17,2024,FY2024-25,3,7,July,29,17,Wednesday,No,Monsoon,No,,0.96
2024-07-18,2024,FY2024-25,3,7,July,29,18,Thursday,No,Monsoon,No,,0.96
2024-07-19,2024,FY2024-25,3,7,July,29,19,Friday,No,Monsoon,No,,0.96
2024-07-20,2024,FY2024-25,3,7,July,29,20,Saturday,Yes,Monsoon,No,,0.96
2024-07-21,2024,FY2024-25,3,7,July,29,21,Sunday,Yes,Monsoon,No,,0.96
2024-07-22,2024,FY2024-25,3,7,July,30,22,Monday,No,Monsoon,No,,0.96
2024-07-23,2024,FY2024-25,3,7,July,30,23,Tuesday,No,Monsoon,No,,0.96
2024-07-24,2024,FY2024-25,3,7,July,30,24,Wednesday,No,Monsoon,No,,0.96
2024-07-25,2024,FY2024-25,3,7,July,30,25,Thursday,No,Monsoon,No,,0.96
2024-07-26,2024,FY2024-25,3,7,July,30,26,Friday,No,Monsoon,No,,0.96
2024-07-27,2024,FY2024-25,3,7,July,30,27,Saturday,Yes,Monsoon,No,,0.96
2024-07-28,2024,FY2024-25,3,7,July,30,28,Sunday,Yes,Monsoon,No,,0.96
2024-07-29,2024,FY2024-25,3,7,July,31,29,Monday,No,Monsoon,No,,0.96
2024-07-30,2024,FY2024-25,3,7,July,31,30,Tuesday,No,Monsoon,No,,0.96
2024-07-31,2024,FY2024-25,3,7,July,31,31,Wednesday,No,Monsoon,No,,0.96
2024-08-01,2024,FY2024-25,3,8,August,31,1,Thursday,No,Monsoon,No,,0.94
2024-08-02,2024,FY2024-25,3,8,August,31,2,Friday,No,Monsoon,No,,0.94
2024-08-03,2024,FY2024-25,3,8,August,31,3,Saturday,Yes,Monsoon,No,,0.94
2024-08-04,2024,FY2024-25,3,8,August,31,4,Sunday,Yes,Monsoon,No,,0.94
2024-08-05,2024,FY2024-25,3,8,August,32,5,Monday,No,Monsoon,No,,0.94
2024-08-06,2024,FY2024-25,3,8,August,32,6,Tuesday,No,Monsoon,No,,0.94
2024-08-07,2024,FY2024-25,3,8,August,32,7,Wednesday,No,Monsoon,No,,0.94
2024-08-08,2024,FY2024-25,3,8,August,32,8,Thursday,No,Monsoon,No,,0.94
2024-08-09,2024,FY2024-25,3,8,August,32,9,Friday,No,Monsoon,No,,0.94
2024-08-10,2024,FY2024-25,3,8,August,32,10,Saturday,Yes,Monsoon,No,,0.94
2024-08-11,2024,FY2024-25,3,8,August,32,11,Sunday,Yes,Monsoon,No,,0.94
2024-08-12,2024,FY2024-25,3,8,August,33,12,Monday,No,Monsoon,No,,0.94
2024-08-13,2024,FY2024-25,3,8,August,33,13,Tuesday,No,Monsoon,No,,0.94
2024-08-14,2024,FY2024-25,3,8,August,33,14,Wednesday,No,Monsoon,No,,0.94
2024-08-15,2024,FY2024-25,3,8,August,33,15,Thursday,No,Monsoon,Yes,Independence Day,1.04
2024-08-16,2024,FY2024-25,3,8,August,33,16,Friday,No,Monsoon,No,,0.94
2024-08-17,2024,FY2024-25,3,8,August,33,17,Saturday,Yes,Monsoon,No,,0.94
2024-08-18,2024,FY2024-25,3,8,August,33,18,Sunday,Yes,Monsoon,No,,0.94
2024-08-19,2024,FY2024-25,3,8,August,34,19,Monday,No,Monsoon,No,,0.94
2024-08-20,2024,FY2024-25,3,8,August,34,20,Tuesday,No,Monsoon,No,,0.94
2024-08-21,2024,FY2024-25,3,8,August,34,21,Wednesday,No,Monsoon,No,,0.94
2024-08-22,2024,FY2024-25,3,8,August,34,22,Thursday,No,Monsoon,No,,0.94
2024-08-23,2024,FY2024-25,3,8,August,34,23,Friday,No,Monsoon,No,,0.94
2024-08-24,2024,FY2024-25,3,8,August,34,24,Saturday,Yes,Monsoon,No,,0.94
2024-08-25,2024,FY2024-25,3,8,August,34,25,Sunday,Yes,Monsoon,No,,0.94
2024-08-26,2024,FY2024-25,3,8,August,35,26,Monday,No,Monsoon,No,,0.94
2024-08-27,2024,FY2024-25,3,8,August,35,27,Tuesday,No,Monsoon,No,,0.94
2024-08-28,2024,FY2024-25,3,8,August,35,28,Wednesday,No,Monsoon,No,,0.94
2024-08-29,2024,FY2024-25,3,8,August,35,29,Thursday,No,Monsoon,No,,0.94
2024-08-30,2024,FY2024-25,3,8,August,35,30,Friday,No,Monsoon,No,,0.94
2024-08-31,2024,FY2024-25,3,8,August,35,31,Saturday,Yes,Monsoon,No,,0.94
2024-09-01,2024,FY2024-25,3,9,September,35,1,Sunday,Yes,Monsoon,No,,1.12
2024-09-02,2024,FY2024-25,3,9,September,36,2,Monday,No,Monsoon,No,,1.12
2024-09-03,2024,FY2024-25,3,9,September,36,3,Tuesday,No,Monsoon,No,,1.12
2024-09-04,2024,FY2024-25,3,9,September,36,4,Wednesday,No,Monsoon,No,,1.12
2024-09-05,2024,FY2024-25,3,9,September,36,5,Thursday,No,Monsoon,No,,1.12
2024-09-06,2024,FY2024-25,3,9,September,36,6,Friday,No,Monsoon,No,,1.12
2024-09-07,2024,FY2024-25,3,9,September,36,7,Saturday,Yes,Monsoon,No,,1.12
2024-09-08,2024,FY2024-25,3,9,September,36,8,Sunday,Yes,Monsoon,No,,1.12
2024-09-09,2024,FY2024-25,3,9,September,37,9,Monday,No,Monsoon,No,,1.12
2024-09-10,2024,FY2024-25,3,9,September,37,10,Tuesday,No,Monsoon,No,,1.12
2024-09-11,2024,FY2024-25,3,9,September,37,11,Wednesday,No,Monsoon,No,,1.12
2024-09-12,2024,FY2024-25,3,9,September,37,12,Thursday,No,Monsoon,No,,1.12
2024-09-13,2024,FY2024-25,3,9,September,37,13,Friday,No,Monsoon,No,,1.12
2024-09-14,2024,FY2024-25,3,9,September,37,14,Saturday,Yes,Monsoon,No,,1.12
2024-09-15,2024,FY2024-25,3,9,September,37,15,Sunday,Yes,Monsoon,No,,1.12
2024-09-16,2024,FY2024-25,3,9,September,38,16,Monday,No,Monsoon,No,,1.12
2024-09-17,2024,FY2024-25,3,9,September,38,17,Tuesday,No,Monsoon,No,,1.12
2024-09-18,2024,FY2024-25,3,9,September,38,18,Wednesday,No,Monsoon,No,,1.12
2024-09-19,2024,FY2024-25,3,9,September,38,19,Thursday,No,Monsoon,No,,1.12
2024-09-20,2024,FY2024-25,3,9,September,38,20,Friday,No,Monsoon,No,,1.12
2024-09-21,2024,FY2024-25,3,9,September,38,21,Saturday,Yes,Monsoon,No,,1.12
2024-09-22,2024,FY2024-25,3,9,September,38,22,Sunday,Yes,Monsoon,No,,1.12
2024-09-23,2024,FY2024-25,3,9,September,39,23,Monday,No,Monsoon,No,,1.12
2024-09-24,2024,FY2024-25,3,9,September,39,24,Tuesday,No,Monsoon,No,,1.12
2024-09-25,2024,FY2024-25,3,9,September,39,25,Wednesday,No,Monsoon,No,,1.12
2024-09-26,2024,FY2024-25,3,9,September,39,26,Thursday,No,Monsoon,No,,1.12
2024-09-27,2024,FY2024-25,3,9,September,39,27,Friday,No,Monsoon,No,,1.12
2024-09-28,2024,FY2024-25,3,9,September,39,28,Saturday,Yes,Monsoon,No,,1.12
2024-09-29,2024,FY2024-25,3,9,September,39,29,Sunday,Yes,Monsoon,No,,1.12
2024-09-30,2024,FY2024-25,3,9,September,40,30,Monday,No,Monsoon,No,,1.12
2024-10-01,2024,FY2024-25,4,10,October,40,1,Tuesday,No,Festive,No,,1.28
2024-10-02,2024,FY2024-25,4,10,October,40,2,Wednesday,No,Festive,No,,1.28
2024-10-03,2024,FY2024-25,4,10,October,40,3,Thursday,No,Festive,No,,1.28
2024-10-04,2024,FY2024-25,4,10,October,40,4,Friday,No,Festive,No,,1.28
2024-10-05,2024,FY2024-25,4,10,October,40,5,Saturday,Yes,Festive,No,,1.28
2024-10-06,2024,FY2024-25,4,10,October,40,6,Sunday,Yes,Festive,No,,1.28
2024-10-07,2024,FY2024-25,4,10,October,41,7,Monday,No,Festive,No,,1.28
2024-10-08,2024,FY2024-25,4,10,October,41,8,Tuesday,No,Festive,No,,1.28
2024-10-09,2024,FY2024-25,4,10,October,41,9,Wednesday,No,Festive,No,,1.28
2024-10-10,2024,FY2024-25,4,10,October,41,10,Thursday,No,Festive,No,,1.28
2024-10-11,2024,FY2024-25,4,10,October,41,11,Friday,No,Festive,No,,1.28
2024-10-12,2024,FY2024-25,4,10,October,41,12,Saturday,Yes,Festive,No,,1.28
2024-10-13,2024,FY2024-25,4,10,October,41,13,Sunday,Yes,Festive,No,,1.28
2024-10-14,2024,FY2024-25,4,10,October,42,14,Monday,No,Festive,No,,1.28
2024-10-15,2024,FY2024-25,4,10,October,42,15,Tuesday,No,Festive,No,,1.28
2024-10-16,2024,FY2024-25,4,10,October,42,16,Wednesday,No,Festive,No,,1.28
2024-10-17,2024,FY2024-25,4,10,October,42,17,Thursday,No,Festive,No,,1.28
2024-10-18,2024,FY2024-25,4,10,October,42,18,Friday,No,Festive,No,,1.28
2024-10-19,2024,FY2024-25,4,10,October,42,19,Saturday,Yes,Festive,No,,1.28
2024-10-20,2024,FY2024-25,4,10,October,42,20,Sunday,Yes,Festive,No,,1.28
2024-10-21,2024,FY2024-25,4,10,October,43,21,Monday,No,Festive,No,,1.28
2024-10-22,2024,FY2024-25,4,10,October,43,22,Tuesday,No,Festive,No,,1.28
2024-10-23,2024,FY2024-25,4,10,October,43,23,Wednesday,No,Festive,No,,1.28
